"","user_id","handle","voteview_id","type","icpsr","bioname","party_code","cqlabel","state_abbrev","chamber","seo_name","district_code","nominate.dim1"
"155",117501995,"senatorcantwell","MS11639310","congress",39310,"CANTWELL, Maria E.",100,"(WA)","WA","Senate","maria-e-cantwell",0,-0.301
"156",119250381,"carolynbmaloney","MH11629379","congress",29379,"MALONEY, Carolyn Bosher",100,"(NY-12)","NY","House","carolyn-bosher-maloney",12,-0.387
"157",122174004,"repdinatitus","MH11620927","congress",20927,"TITUS, Alice (Dina)",100,"(NV-01)","NV","House","alice-dina-titus",1,-0.302
"158",124224165,"repfredupton","MH11615446","congress",15446,"UPTON, Frederick Stephen",200,"(MI-06)","MI","House","frederick-stephen-upton",6,0.335
"159",131546062,"senrickscott","MS11641903","congress",41903,"SCOTT, Richard Lynn (Rick)",200,"(FL)","FL","Senate","richard-lynn-rick-scott",0,0.5
"160",137794015,"repteddeutch","MH11620959","congress",20959,"DEUTCH, Theodore E. (Ted)",100,"(FL-22)","FL","House","theodore-e-ted-deutch",22,-0.399
"161",138203134,"aoc","MH11621949","congress",21949,"OCASIO-CORTEZ, Alexandria",100,"(NY-14)","NY","House","alexandria-ocasio-cortez",14,-0.226
"162",140519774,"rosadelauro","MH11629109","congress",29109,"DeLAURO, Rosa L.",100,"(CT-03)","CT","House","rosa-l-delauro",3,-0.416
"163",142332083,"ronjohnsonwi","MS11641111","congress",41111,"JOHNSON, Ron",200,"(WI)","WI","Senate","ron-johnson",0,0.602
"164",145292853,"garypeters","MS11620923","congress",20923,"PETERS, Gary C.",100,"(MI)","MI","Senate","gary-c-peters",0,-0.246
"165",150078976,"chrismurphyct","MS11620707","congress",20707,"MURPHY, Christopher",100,"(CT)","CT","Senate","christopher-murphy",0,-0.276
"166",153486399,"repmarciafudge","MH11620941","congress",20941,"FUDGE, Marcia L.",100,"(OH-11)","OH","House","marcia-l-fudge",11,-0.582
"167",153944899,"replloyddoggett","MH11629571","congress",29571,"DOGGETT, Lloyd Alton, II",100,"(TX-35)","TX","House","lloyd-alton-doggett-ii",35,-0.403
"168",155669457,"repdavideprice","MH11615438","congress",15438,"PRICE, David Eugene",100,"(NC-04)","NC","House","david-eugene-price",4,-0.343
"169",156333623,"repalgreen","MH11620529","congress",20529,"GREEN, Al",100,"(TX-09)","TX","House","al-green",9,-0.438
"170",161411080,"gracenapolitano","MH11629903","congress",29903,"NAPOLITANO, Grace Flores",100,"(CA-32)","CA","House","grace-flores-napolitano",32,-0.448
"171",161743731,"repkaygranger","MH11629762","congress",29762,"GRANGER, Kay",200,"(TX-12)","TX","House","kay-granger",12,0.397
"172",161791703,"bobbyscott","MH11639307","congress",39307,"SCOTT, Robert C.",100,"(VA-03)","VA","House","robert-c-scott",3,-0.45
"173",162069635,"repcohen","MH11620748","congress",20748,"COHEN, Stephen",100,"(TN-09)","TN","House","stephen-cohen",9,-0.399
"174",163570705,"repcleaver","MH11620517","congress",20517,"CLEAVER, Emanuel, II",100,"(MO-05)","MO","House","emanuel-cleaver-ii",5,-0.454
"175",164007407,"repeliotengel","MH11615603","congress",15603,"ENGEL, Eliot Lance",100,"(NY-16)","NY","House","eliot-lance-engel",16,-0.408
"176",164369297,"nydiavelazquez","MH11629378","congress",29378,"VEĹZQUEZ, Nydia M.",100,"(NY-07)","NY","House","nydia-m-velazquez",7,-0.547
"177",168502762,"repebj","MH11639305","congress",39305,"JOHNSON, Eddie Bernice",100,"(TX-30)","TX","House","eddie-bernice-johnson",30,-0.485
"178",168673083,"repdavidscott","MH11620321","congress",20321,"SCOTT, David",100,"(GA-13)","GA","House","david-scott",13,-0.301
"179",171598736,"senbobcasey","MS11640703","congress",40703,"CASEY, Robert (Bob), Jr.",100,"(PA)","PA","Senate","robert-bob-casey-jr",0,-0.31
"180",172858784,"timkaine","MS11641305","congress",41305,"KAINE, Timothy Michael (Tim)",100,"(VA)","VA","Senate","timothy-michael-tim-kaine",0,-0.239
"181",188019606,"whipclyburn","MH11639301","congress",39301,"CLYBURN, James Enos",100,"(SC-06)","SC","House","james-enos-clyburn",6,-0.464
"182",190328374,"reptomgraves","MH11620962","congress",20962,"GRAVES, Tom",200,"(GA-14)","GA","House","tom-graves",14,0.722
"183",193441812,"pramilajayapal","MH11621726","congress",21726,"JAYAPAL, Pramila",100,"(WA-07)","WA","House","pramila-jayapal",7,-0.697
